Date Announced,Acquiror,AcquirorTicker,Target,Primary Asset,Primary Indication,Disease Category,Lead Stage (At Time of Deal),"Deal Value 
($B)","LTM sales
($M)","Peak Sales** 
Est ($M)",Deal value/ LTM sales,Deal value/ Peak sales,Takeout Forward P/E,90 Day Premium,Cash / Stock Deal Structure,Termination Fees,Financial Advisor (Target),Financial Advisor (Acquirer),"Target on Conference Call
",PR on Target's Website
Mar-23,Sanofi,SNY,Provention Bio,Tzield,Type 1 Diabetes,Metabolic,Approved,2.9,12.9,1775.1,224.8062016,1.633710777,N/A,2.73,All Cash,$158M,"BofA, Centerview",PJT Partners,No Call Held,Yes
Apr-23,Merck ,MRK,Prometheus Biosciences ,PRA023 ,Ulcerative colitis ,"Autoimmune, Inflammatory",Phase II,10.8,-,4500,-,2.4,N/A ,,All Cash ,-,"Centerview, Goldman",Morgan Stanley,No,Yes
Apr-23,GSK,GSK,Bellus Health,Camlipixant,Refractory chronic cough,Respiratory,Phase III,2,-,1200,-,1.666666667,N/A ,,All Cash ,,Centerview,PJT Partners,No,Yes
Apr-23,Astellas,ALPMY,Iveric Bio,Avacincaptad pegol,Geographic atrophy/AMD,Ophthalmology,Phase III,5.9,-,1500,-,3.933333333,N/A ,,All Cash ,,"BofA, Centerview",JPM,No,Yes
May-23,Swedish Orphan Biovitrum,BIOVF,CTI BioPharma,VONJO (pacritinib),Myelofibrosis ,Hematology,Approved,1.7,70,1000,24.28571429,1.7,N/A ,,All Cash ,,"Centerview, MTS",-,No,Yes
May-23,Ironwood Pharmaceuticals,IRWD,VectivBio Holding,Apraglutide,Short bowel syndrome with intestinal failure ,Gastrointestinal,Phase III,1,-,1000,-,1,N/A ,0.8,All Cash ,,"Centerview, BofA","Citi, JPM, RBC Capital Markets,  Wells Fargo",No,Yes
Jun-23,Novartis,NVS,Chinook Therapeutics,Atrasentan,IgA nephropathy ,Nephrology,Phase III,3.2,-,1000,-,3.2,N/A ,0.83,All Cash ,,"Centerview, MTS",-,No,Yes
Jun-23,Eli Lilly,LLY,DiCE Therapeutics,DC-806,Psoriasis ,"Autoimmune, Inflammatory",Phase I,2.4,-,1000,-,2.4,N/A ,,All Cash ,,Centerview,-,No,Yes
Jul-23,Biogen ,BIIB,Reata Pharmaceuticals,Skyclarys,Friedreich's Ataxia,Neuromuscular,Approved,7.3,-,1500,-,4.866666667,N/A ,,All Cash,,Goldman,Lazard,No,Yes
Aug-23,Revolution Medicines,RVMD,EQRx,Sugemalimab,NSCLC,Oncology,Phase III,1,-,-,-,N/A,N/A ,,All Stock,,Goldman,Guggenheim,No,Yes
Sep-23,Alfasigma,PRIVATE,Intercept,Ocaliva,PBC,Rare diseases,Approved,0.794,306.5,350,2.590538336,2.268571429,N/A ,0.82,All Cash,,"Barclays, Centerview",PJT Partners,No,Yes
Oct-23,Eli Lilly,LLY,Point Biopharma,PNT2002,Prostate cancer,Oncology,Phase III,1.4,-,1150,-,NA,N/A ,,All Cash,,Centerview,Goldman,No,Yes
Oct-23,Bristol-Myers Squibb,BMY,Mirati Therapeutics,Krazati,NSCLC,Oncology,Approved,5.8,19.7,1400,294.4162437,4.142857143,N/A,0.52,All Cash,,Centerview,"Evercore, Morgan Stanley",No,Yes
Oct-23,Roche,RHHBY,Telavant Holdings,RVT-3101,Inflammatory bowel disease,"Autoimmune, Inflammatory",Phase II,7.1,-,4500,-,1.577777778,N/A,,All Cash,,-,Citi,Yes,Yes
Nov-23,Abbvie,ABBV,ImmunoGen,Elahere,Platinum-resistant ovarian cancer,Oncology,Approved,10.1,212,2000,47.64150943,5.05,N/A,,All Cash,,"Goldman, Lazard","JPM, Morgan Stanley",No,Yes
Dec-23,Roche,RHHBY,Carmot Therapeutics,CT-388,Obesity,Obesity ,Phase I/II ,2.7,-,2000,-,1.35,N/A,,All Cash,,"Centerview, JPM",-,No,Yes
Dec-23,Abbvie,ABBV,Cerevel ,Emracalidine ,Schizophrenia ,Neuropsychiatric ,Phase IIb,8.7,-,1500,-,5.8,N/A,,All Cash,,Centerview,Morgan Stanley ,No ,Yes 
Dec-23,AstraZeneca ,AZN,Icosavax,IVX-A12,"RSV, hMPV",Infectious Diseases,Phase III,0.8,-,1000,-,0.8,N/A,,All Cash,,Centerview,-,No ,Yes
Dec-23,Bristol-Myers Squibb,BMY,Karuna,KarXT,Schizophrenia ,Neurology,Filing,12.7,-,3800,-,3.342105263,N/A,,All Cash,,Goldman,Citi,No,Yes
Dec-23,AstraZeneca,AZN,Gracell,GC012F,Multiple myeloma,Oncology,Phase I/II,0.7659,-,-,-,N/A,N/A,,All Cash,,Centerview,-,No,Yes
Dec-23,Bristol-Myers Squibb,BMY,RayzeBio,RYZ101,GEP-NETs,Oncology,Phase III,3.6,-,1000,-,3.6,N/A,,All Cash,,Centerview,BofA,No,Yes
Jan-24,Johnson & Johnson,JNJ,Ambrx Biopharma,ARX517,Prostate cancer,Oncology,Phase I/II,2,-,-,-,-,N/A,,All Cash,,"Centerview, Cantor Fitzgerald",-,,Yes
Jan-24,Merck,MRK,Harpoon Therapeutics,HPN328,SCLC,Oncology,Phase I/II,0.68,-,500,-,1.36,N/A,,All Cash,,Centerview,Evercore,,Yes
Jan-24,GSK,GSK,Aiolos Bio,AIO-001,Asthma,Pulmonary Diseases,Phase I,1,-,-,-,-,N/A,,All Cash,,-,-,,Yes
Jan-24,Sanofi,SNY,Inhibrx,INBRX-101,AATD,Pulmonary Diseases,Phase III,1.7,,1000,,1.7,N/A,,All Cash,,Centerview,Lazard,,Yes
Feb-24,Novartis,NVS,MorphoSys,Pelabresib,Myelofibrosis,Oncology,Phase III,2.9,,1000,,2.9,N/A,,All Cash,,Centerview,,,Yes
Feb-24,Gilead,GILD,CymaBay,Seladelpar,Primary biliary cholangitis,Liver Diseases,Phase III,4.3,,600,,7.166666667,N/A,,All Cash,$151.6M,"Centerview, Lazard","BofA, Guggenheim",,Yes
Mar-24,AstraZeneca,AZN,Amolyt Pharma,eneboparatide ,Chronic Hypoparathyroidism,Rare Diseases,Phase III,0.8,,2000,,0.4,N/A,,All Cash,,"Centerview, Goldman",-,,Yes
Mar-24,AstraZeneca,AZN,Fusion Pharmaceuticals,FPI-2265,mCRPC,Oncology,Phase II,2,,3000,,0.666666667,N/A,,All Cash,,Centerview,-,,Yes
Apr-24,Genmab,GMAB,ProfoundBio,Rina-S,Ovarian cancer,Oncology,Phase II,1.8,,2000,,0.9,N/A,,All Cash,,"BofA, Morgan Stanley",Goldman,,Yes
Apr-24,Vertex,VRTX,Alpine Immune Sciences,povetacicept,IgA nephropathy ,Nephrology,Phase III,4.9,-,1000,,4.9,N/A,,All Cash,,Centerview,Lazard,,Yes
Apr-24,Incyte,INCY,Escient Pharmaceuticals,EP262,"CIndU, CSU, AD",Autoimmune,Phase II,0.75,-,1000,,0.75,N/A,,All Cash,,"Centerview, Goldman",,,Yes
Apr-24,Ono Pharmaceuticals,OPHLY,Deciphera Pharmaceuticals,"Ripretinib, Vimseltinib ","GIST, TGCT",Oncology,"Approved, Phase III",2.4,-,800,,3,N/A,,All Cash,,JPM,BofA,,Yes
May-24,Novartis,NVS,Mariana Oncology,MC-339,SCLC,Oncology,Preclinical ,1,,1000,,1,N/A,,All Cash,,Centerview,,,Yes
May-24,Johnson & Johnson,JNJ,Proteologix,PX128,"AD, Asthma",Autoimmune,Preclinical ,0.85,,3000,,0.283333333,N/A,,All Cash,,,,,No
May-24,Biogen ,BIIB,Human Immunology Biosciences,felzartamab,"AMR, PMN, IgAN",Nephrology,Phase II,1.15,,1000,,1.15,N/A,,All Cash,,"Goldman, BofA",,,Yes
May-24,Johnson & Johnson,JNJ,Yellow Jersey Therapeutics,NM26,AD,Autoimmune,Phase II,1.25,,2000,,0.625,N/A,,All Cash,,"Morgan Stanley, Centerveiw",,,Yes
May-24,Asahi Kasei,AHKSY,Calliditas Therapeutics,Nefecon,IgAN,Nephrology,Phase II,1.1,,750,,1.466666667,N/A,,All Cash,,Lazard,,,Yes
May-24,Merck,MRK,EyeBio,Restoret,DME,Ophthalmology,Phase IIB/III,1.3,,500,,2.6,N/A,,All Cash,,Centerview,Citi,,Yes
Jul-24,Lilly,LLY,Morphic Therapeutics,MORF-057,"Ulcerative Colitis, Crohn's Disease",Inflammation,Phase IIB,3.2,,2500,,1.28,N/A,,All Cash,,Centerview,Citi,,Yes
Aug-24,Recursion Pharmaceuticals,RXRX,Exscientia,GTAEXS617,Solid tumors,"Oncology, etc",Phase 1/2,,,,,,,,All Shares,,Centerview,Allen & Company,,Yes
Aug-24,Otsuka Pharmaceutical,OTSKF,Jnana Therapeutics,JNT-517,PKU,Rare disease,Phase 1/2,0.8,,500,,1.6,N/A,,All Cash,,Centerview,,,Yes
Aug-24,Merck,MRK,Curon' CD3 x CD19,CN201,"B cell malignancies, autoimmune","Oncology, Autoimmune",Phase 1/2,0.7,,2000,,0.35,N/A,,All Cash,,Centerview,,,No
